instrument; direction; t0; take placement stock price; t1; close placement stock price; is closed ?; EXTRA VALUE ...
PLTR;bearish;1606326300;28.139999389648438;1606330500;28.432899475097656;true;fiability:1;
NIO;bearish;1606321200;52.87179946899414;1606327800;52.88999938964844;true;fiability:1;
NIO;bearish;1606335900;53.91999816894531;1606337700;53.689998626708984;false;fiability:1;
NAK;bearish;1606321200;0.8700000047683716;1606332900;0.41179999709129333;true;fiability:1;
WORK;bearish;1606323000;38.11140060424805;1606326900;37.046600341796875;true;fiability:1;
AAL;bearish;1606319700;15;1606321200;14.719900131225586;true;fiability:1;
AAL;bearish;1606335300;15.0649995803833;1606336500;14.904999732971191;true;fiability:1;
F;bullish;1606331700;9.024999618530273;1606334400;9.050000190734863;true;fiability:1;
FSR;bearish;1606321500;19.889999389648438;1606323600;19.40999984741211;true;fiability:1;
CCL;bearish;1606327800;20.760000228881836;1606330800;20.605600357055664;true;fiability:1;
VALE;bearish;1606327200;14.234999656677246;1606334100;14.225000381469727;true;fiability:1;
BAC;bearish;1606336200;28.975000381469727;1606337700;29.03499984741211;false;fiability:1;
M;bearish;1606326000;11.234999656677246;1606335900;10.914999961853027;true;fiability:1;
GPS;bullish;1606319700;21.815000534057617;1606328400;21.65999984741211;true;fiability:1;
GPS;bullish;1606330800;21.40559959411621;1606333200;21.524999618530273;true;fiability:1;
TSLA;bearish;1606320600;562.8499145507812;1606331100;567.780029296875;true;fiability:1;
UVXY;bullish;1606327500;11.729900360107422;1606337700;11.300000190734863;false;fiability:1;
JMIA;bearish;1606319700;34.40140151977539;1606328100;37.06999969482422;true;fiability:1;
JWN;bearish;1606319700;28.950000762939453;1606337700;27.399999618530273;false;fiability:1;
WEI;bullish;1606321200;2.049999952316284;1606322100;2.088599920272827;true;fiability:1;
SOLO;bearish;1606328100;8.720000267028809;1606332000;8.71500015258789;true;fiability:1;
ZKIN;bullish;1606328400;2.146199941635132;1606337700;2.2899999618530273;false;fiability:1;
UXIN;bearish;1606331700;1.4991999864578247;1606337700;1.6299999952316284;false;fiability:1;
MRO;bearish;1606320000;6.519999980926514;1606324800;6.4868998527526855;true;fiability:1;
KODK;bearish;1606319700;8.050000190734863;1606323600;8.01200008392334;true;fiability:1;
CRM;bullish;1606323600;251.16000366210938;1606326900;251.69839477539062;true;fiability:1;
CRM;bullish;1606335000;247.5666961669922;1606337700;246.7100067138672;false;fiability:1;
DPW;bearish;1606321200;6.25;1606325400;6.739999771118164;true;fiability:1;
MRNA;bearish;1606332900;108.4011001586914;1606337700;109.1500015258789;false;fiability:1;
VXX;bullish;1606327500;17.790000915527344;1606337700;17.3700008392334;false;fiability:1;
NNDM;bearish;1606321200;5.380099773406982;1606331700;5.409999847412109;true;fiability:1;
UAL;bearish;1606319700;45.540000915527344;1606322400;45.220001220703125;true;fiability:1;
SYBX;bearish;1606332900;2.299999952316284;1606336500;2.9000000953674316;true;fiability:1;
PFE;bearish;1606334700;36.43899917602539;1606337700;36.52000045776367;false;fiability:1;
DKNG;bearish;1606323900;50.80270004272461;1606326900;50.369998931884766;true;fiability:1;
ZNGA;bullish;1606328100;7.900000095367432;1606331100;7.914999961853027;true;fiability:1;
HYG;bearish;1606321500;86.36000061035156;1606328400;86.38999938964844;true;fiability:1;
COTY;bearish;1606337400;7.260000228881836;1606337700;7.260000228881836;false;fiability:1;
CSCO;bullish;1606323300;42.314998626708984;1606325400;42.404998779296875;true;fiability:1;
EWZ;bearish;1606327200;33.939998626708984;1606334700;33.845001220703125;true;fiability:1;
CAN;bearish;1606320300;6.28000020980835;1606324500;6.635000228881836;true;fiability:1;
IAU;bullish;1606330500;17.219999313354492;1606331400;17.219999313354492;true;fiability:1;
EFA;bearish;1606327200;71.30840301513672;1606331400;71.25;true;fiability:1;
CMCSA;bearish;1606336200;51.71500015258789;1606337700;51.810001373291016;false;fiability:1;
SPCE;bearish;1606319700;26.31559944152832;1606322700;26.71500015258789;true;fiability:1;
SPCE;bearish;1606325400;27.533000946044922;1606329300;27.434999465942383;true;fiability:1;
HPQ;bullish;1606323900;22.26919937133789;1606326000;22.375;true;fiability:1;
HPQ;bullish;1606331100;21.94499969482422;1606333500;21.9950008392334;true;fiability:1;
SABR;bearish;1606321200;11.433600425720215;1606327800;11.5600004196167;true;fiability:1;
FCX;bearish;1606321500;23.354999542236328;1606326300;23.565000534057617;true;fiability:1;
